campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Dearborn,LEO Lecturer I,Dbn CEHHS Health & Human Serv,41820,8-Month,0.25,10455.04
Dearborn,LEO Lecturer II,Dbn CEHHS Education-OPERATIONS,47753.56,8-Month,0.17,8356.87
Dearborn,ASST PROFESSOR,Dbn Coll of Eng-Mechanical Eng,94000,8-Month,1,94000
Dearborn,LEO Lecturer II,"Dbn-Literature,Philosophy&Arts",49322.95,8-Month,0.5,24661.52
Dearborn,ASSOC PROFESSOR,Dbn CASL-Math & Statistics,81868,8-Month,1,81868
Dearborn,LEO Intermittent Lecturer,Dbn Col of Bus-Mgmt Studies,41820,8-Month,0.25,10455.04
Dearborn,ASSOC PROFESSOR,Dbn Coll of Eng-Mechanical Eng,110915,8-Month,1,110915
Dearborn,PROFESSOR,Dbn Col of Bus-Mgmt Studies,162749,8-Month,1,162749
Dearborn,LEO Lecturer II,Dbn Col of Eng-Computer & Info,44690,8-Month,0.33,14892.96
Dearborn,ASSOC PROFESSOR,Dbn CASL-Psychology,84041,8-Month,1,84041
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Indust & Sys En,92928,8-Month,1,83635.2
Dearborn,ASST PROFESSOR,Dbn Coll of Eng-Mechanical Eng,98000,8-Month,1,98000
Dearborn,LEO Lecturer I,Dbn Col of Eng-Electric & Comp,41820,8-Month,0.33,13936.56
Dearborn,ASST PROFESSOR,Dbn Col of Eng-Indust & Sys En,97484,8-Month,1,97484
Dearborn,ASSOC PROFESSOR,Dbn Col of Bus-Mgmt Studies,154228,8-Month,1,154228
Dearborn,PROFESSOR,Dbn Col of Eng-Indust & Sys En,141823,8-Month,1,141823
Dearborn,ASSOC PROFESSOR,Dbn CASL-Sociology & Anthropol,83215,8-Month,1,83215
Dearborn,PROFESSOR,Dbn Coll of Eng-Mechanical Eng,130737,8-Month,1,130737
Dearborn,LEO Lecturer II,Dbn Coll of Eng-Mechanical Eng,52772.7,8-Month,0.32,17151.13
Dearborn,ASSOC PROFESSOR,Dbn CASL-Psychology,80371,8-Month,1,80371
Dearborn,ASSOC PROFESSOR,Dbn CASL-Physical Sciences,84368.9,8-Month,1,84368.9
Dearborn,PROFESSOR,Dbn CASL-Math & Statistics,92731,8-Month,1,92731
Dearborn,LEO Lecturer II,Dbn CASL-Biological Sciences,45584,8-Month,0.37,17094
Dearborn,ASST PROFESSOR,Dbn CASL-Physical Sciences,69287,8-Month,1,69287
Dearborn,LEO Lecturer I,Dbn CEHHS Education-OPERATIONS,41820,8-Month,0.25,10455.04
Dearborn,ASSOC PROFESSOR,Dbn CASL-Social Sciences,87663,8-Month,1,87663
Dearborn,PROFESSOR,Dbn CASL-Social Sciences,102644,8-Month,1,102644
Dearborn,ASST PROFESSOR,Dbn CASL-Math & Statistics,68450,8-Month,1,68450
Dearborn,ASSOC PROFESSOR,Dbn CASL-Biological Sciences,80720,8-Month,1,80720
Dearborn,LEO Lecturer II,Dbn Col of Eng-Electric & Comp,49560.72,8-Month,0.25,12390.18
Dearborn,LEO Lecturer II,Dbn Writing Center,45583.8,8-Month,1,45583.84
Dearborn,LEO Lecturer II,Dbn CASL-Natural Sciences,47617,8-Month,1,47617
