campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Flint,PROFESSOR,Flint School of Management,152411.33,9-Month,1,152411.33
Flint,LEO Lecturer II,Flint Music,45153.36,8-Month,0.82,36609.76
Flint,LEO Adjunct Lecturer,Flint Music,41820,8-Month,0.25,10337.6
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,50200.7,8-Month,0.25,12409.2
Flint,PROFESSOR,Flint School of Management,163493.25,9-Month,1,163493.25
Flint,ASST PROFESSOR,Flint Biology,62500,9-Month,1,62500
Flint,LEO Lecturer I,Flint Computer Science,41820,8-Month,0.25,10337.52
Flint,LEO Lecturer II,Flint English,45153.36,8-Month,0.75,33484.56
Flint,ASSOC PROFESSOR,Flint Mathematics,78484.36,9-Month,1,78484.36
Flint,LEO Lecturer II,Flint Nursing,49379.5,8-Month,0.22,10741.44
Flint,LEO Adjunct Lecturer,Flint Occupational Therapy,56000,8-Month,0.09,5370.96
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,37270.8,8-Month,0.33,12161.2
Flint,ASST PROFESSOR,Flint Education,57976.8,9-Month,1,57976.8
Flint,LEO Lecturer I,Flint Education,41820,8-Month,0.25,10337.6
Flint,ASSOC PROFESSOR,Flint Nursing,89875.57,9-Month,1,85381.79
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,1,41350.08
Flint,LEO Lecturer IV,Flint Biology,50187.94,9-Month,1,50187.94
Flint,LEO Lecturer II,Flint Music,46557.9,8-Month,0.08,3682.8
Flint,ASSOC PROFESSOR,Flint Nursing,91750.56,9-Month,0.5,45875.28
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34000,8-Month,0.44,14791.92
Flint,LEO Lecturer I,Flint Education,41820,8-Month,0.16,6884.8
Flint,LEO Lecturer IV,Flint School of Management,93914.52,9-Month,0.75,70435.89
Flint,ASST PROFESSOR,Flint Education,60319.06,9-Month,1,60319.06
Flint,ASSOC PROFESSOR,Flint Philosophy,84604.36,9-Month,1,84604.36
Flint,LEO Lecturer IV,Flint Foreign Language,76302.98,9-Month,1,76302.98
Flint,ASSOC PROFESSOR,Flint Nursing,90416.38,9-Month,1,90416.38
Flint,LEO Lecturer II,Flint Nursing,46648.05,8-Month,0.8,36899.2
Flint,LEO Lecturer I,Flint Music,41820,8-Month,0.32,13232
Flint,LEO Lecturer I,Flint Mathematics,41820,8-Month,0.58,24107.12
Flint,LEO Lecturer I,Flint Art & Art History,41820,8-Month,1,41350.16
Flint,LEO Lecturer II,Flint Theatre and Dance,45583.8,8-Month,0.75,33803.76
Flint,ASSOC PROFESSOR,Flint Biology,79840.43,9-Month,0.5,39920.22
Flint,LEO Lecturer I,Flint Occupational Therapy,63240,8-Month,0.07,4564.72
Flint,LEO Lecturer II,Flint Economics,60204.16,8-Month,0.25,14882
Flint,LEO Lecturer II,Flint MPA Web Plus,60204.16,8-Month,0.25,14882
Flint,LEO Lecturer I,Flint Music,41820,8-Month,0.04,1654.08
Flint,ASSOC PROFESSOR,Flint Theatre and Dance,75169.29,9-Month,1,75169.29
Flint,ASST PROFESSOR,Flint Art & Art History,60000,9-Month,1,60000
Flint,LEO Lecturer I,Flint Mathematics,41820,8-Month,0.58,24107.12
Flint,LEO Lecturer I,Flint Economics,41820,8-Month,0.25,10337.6
Flint,LEO Lecturer I,Flint Education,41820,8-Month,0.25,10337.6
Flint,ASSOC PROFESSOR,Flint Music,75736.71,9-Month,1,75736.71
Flint,LEO Lecturer IV,Flint Education,47807.4,9-Month,0.5,23903.7
Flint,ASSOC PROFESSOR,Flint Education,77832.06,9-Month,1,77832.06
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,44217,9-Month,0.25,11054.25
Flint,ASSOC PROFESSOR,Flint Economics,96261.8,9-Month,1,96261.8
Flint,LEO Intermittent Lecturer,Flint Dept Pub Hlth & Hlth Sci,41820,8-Month,0.25,10337.6
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,45872.96,8-Month,0.25,11339.44
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,36000,8-Month,0.3,10678.64
Flint,ASST PROFESSOR,"Flint Soc,Anthropology & CJ",65918.41,9-Month,1,65918.41
Flint,LEO Lecturer II,Flint Art & Art History,45153.36,8-Month,1,44646.08
Flint,LEO Lecturer I,Flint Education,41820,8-Month,0.62,25843.84
Flint,PROFESSOR,Flint Biology,118000,9-Month,1,66670
Flint,LEO Lecturer II,Flint Education,47962.44,9-Month,0.5,23981.22
Flint,ASST PROFESSOR,Flint Education,60047.4,9-Month,0.33,19815.64
Flint,ASST PROFESSOR,Flint Physics,60047.4,9-Month,0.67,40231.76
Flint,LEO Lecturer II,Flint English,47312.19,9-Month,0.75,35484.15
Flint,LEO Lecturer II,Flint Nursing,55399.89,8-Month,0.46,25553.68
Flint,LEO Lecturer II,Flint Dept Pub Hlth & Hlth Sci,45642.48,8-Month,0.5,22564.8
Flint,PROFESSOR,Flint History,91401.07,9-Month,1,91401.07
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,37270.8,8-Month,0.3,11055.6
Flint,LEO Lecturer II,Flint Africana Studies Dept,88497.88,9-Month,0.66,59028.09
Flint,LEO Lecturer II,Flint English,89762.02,9-Month,0.33,29890.76
Flint,LEO Lecturer I,Flint Computer Science,41820,8-Month,0.25,10337.6
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,38739.4,8-Month,0.77,29494.16
Flint,LEO Intermittent Lecturer,Flint Nursing,41000,8-Month,0.2,8107.84
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34181.84,8-Month,0.13,4689.44
Flint,ASST PROFESSOR,Flint Nursing,77647.5,9-Month,1,77647.5
Flint,ASSOC PROFESSOR,Flint English,73147.4,9-Month,1,73147.4
Flint,ASSOC PROFESSOR,Flint Dept of Chem/Biochem,73369.09,9-Month,1,73369.09
Flint,LEO Lecturer I,Flint Theatre and Dance,41820,8-Month,0.5,20675.12
Flint,LEO Lecturer III,Flint School of Management,55765.44,9-Month,0.75,41824.08
Flint,ASSOC PROFESSOR,Flint Nursing,94325.56,9-Month,1,94325.56
Flint,LEO Lecturer II,Flint Nursing,60751.65,8-Month,0.73,44045.68
Flint,ADJUNCT CLINICAL LECTURER,Flint Nursing,34000,8-Month,0.3,10085.36
Flint,LEO Lecturer II,Flint Nursing,55977.78,9-Month,0.6,33586.67
Flint,LEO Lecturer IV,Flint Theatre and Dance,77026.8,9-Month,1,77026.8
Flint,LEO Lecturer I,Flint Nursing,41820,8-Month,0.53,22050
Flint,LEO Lecturer I,"Flint Soc,Anthropology & CJ",43860,8-Month,0.25,10841.84
Flint,LEO Lecturer IV,Flint Foreign Language,56094.63,9-Month,0.91,51382.69
Flint,PROFESSOR EMERITUS/A,Flint English,56000,8-Month,0.25,13842.72
