campus,title,dept,annual_ftr,ftr_basis,frac_fte,amt_from_gen_fund
Ann Arbor,professor,LSA Mathematics,133223,9-Month,1,133223
Ann Arbor,asst professor,"School of Music,Theatre&Dance",126733.35,9-Month,1,126733.35
Ann Arbor,assoc professor,LSA History,93428,9-Month,0.75,70071
Ann Arbor,assoc professor,LSA Romance Languages & Lit.,93428,9-Month,0.25,23357
Ann Arbor,professor,Neurology Department,220000,12-Month,0.58,8788.62
Ann Arbor,asst professor,LSA American Culture,82326,9-Month,0.5,41163
Ann Arbor,asst professor,LSA Women's Studies,82326,9-Month,0.5,41163
Ann Arbor,leo lecturer i,LSA Chemistry,52530,8-Month,1,51939.76
Ann Arbor,assoc professor,LSA Comparative Literature,91770,9-Month,0.5,45885
Ann Arbor,assoc professor,LSA Slavic Languages & Lit.,91770,9-Month,0.5,45885
Ann Arbor,leo intermittent lecturer,Ross School of Business,122277.68,8-Month,1,122277.68
Ann Arbor,research professor,ICPSR - Director's Office,212180,12-Month,1,0
Ann Arbor,professor,IntMed-Geri & Palliative Med.,225000,12-Month,0.45,5456.66
Ann Arbor,asst professor,LSA Asian Languages & Cultures,96074,9-Month,0.5,48037
Ann Arbor,asst professor,LSA Women's Studies,96074,9-Month,0.5,48037
Ann Arbor,leo lecturer iv,CoE Undergraduate Education,76858.1,9-Month,1,76858.1
Ann Arbor,research asst professor,Orthopaedic Surgery,88841.79,12-Month,1,0
Ann Arbor,leo lecturer iv,Naval Arch & Marine Dept,107566.81,12-Month,1,107566.81
Ann Arbor,professor,LSA Middle East Studies,106369,9-Month,1,106369
Ann Arbor,adjunct clinical professor,G. Ford Sc Pub Pol,206164.24,8-Month,0.24,0
Ann Arbor,visiting professor,Ophthalmology & Visual Science,200000,12-Month,0.1,0
Ann Arbor,assoc professor,LSA Middle East Studies,97720,9-Month,0.5,48860
Ann Arbor,leo lecturer iv,LSA Asian Languages & Cultures,78164.26,9-Month,1,78164.26
Ann Arbor,assoc professor,Cell and Developmental Biology,160839.42,12-Month,0.9,106153.54
Ann Arbor,clinical professor,Int Med-Gastroenterology,225000,12-Month,0.1,0
Ann Arbor,leo lecturer ii,LSA UG: Comprehensive Studies,62817.13,9-Month,1,62817.13
Ann Arbor,leo lecturer ii,Ross School of Business,124451.29,9-Month,0.16,20752.25
Ann Arbor,professor,Nuclear Eng & Radiological Sci,257500,9-Month,0.5,81112.5
Ann Arbor,asst professor,LSA Ecology & Evolutionary Bio,84886,9-Month,1,84886
Ann Arbor,professor,Materials Science & Engin.,228550,9-Month,1,194267.5
Ann Arbor,asst professor,Chemical Engineering Dept,107000,9-Month,1,107000
Ann Arbor,adjunct clinical lecturer,"DENTCariology,Restor Sci &Endo",60000,12-Month,0.2,12000
Ann Arbor,research associate professor,SRC-Quantitative Methods,200000,12-Month,1,0
Ann Arbor,leo lecturer i,EECS - CSE Division,76858,8-Month,0.8,60795.52
Ann Arbor,asst professor,Sch for Environ and Sustain,93359.2,9-Month,0.75,70019.4
Ann Arbor,leo lecturer ii,LSA Middle East Studies,59806.42,8-Month,1,59134.48
Ann Arbor,leo lecturer iv,Division of Anatomical Science,161899.63,12-Month,1,109282.25
Ann Arbor,leo lecturer ii,LSA Earth & Environmental Sci.,79990.42,8-Month,0.66,52734.4
Ann Arbor,research professor,LSA Earth & Environmental Sci.,135613.12,12-Month,0.05,6780.66
Ann Arbor,research professor,ICPSR - Director's Office,289225,12-Month,0.4,0
Ann Arbor,professor,Otorhinolaryngology Department,155168.13,12-Month,0.5,11805.4
Ann Arbor,professor,Int Med-Hematology/Oncology,225000,12-Month,1,13848.75
Ann Arbor,leo intermittent lecturer,School of Social Work,51008,8-Month,0.5,25217.44
Ann Arbor,leo lecturer ii,LSA Romance Languages & Lit.,56100,8-Month,1,55469.68
Ann Arbor,leo lecturer iv,LSA Molec./Cell./Develop. Bio,77777.32,9-Month,1,77777.32
Ann Arbor,assoc professor,Hlth Behavior & Hlth Ed Dept,139900,9-Month,1,85339
Ann Arbor,professor,LSA Physics,145385,9-Month,1,145385
Ann Arbor,professor,PHARMACY Pharmaceutical Sci,296810,12-Month,1,0
Ann Arbor,research professor,PHARMACY Pharmaceutical Sci,171541,12-Month,0.5,76618.79
Ann Arbor,adjunct clin asst professor,"DENTCariology,Restor Sci &Endo",60042,12-Month,0.1,6004.2
Ann Arbor,leo lecturer iv,LSA Ecology & Evolutionary Bio,96845.45,9-Month,0.5,48422.73
Ann Arbor,leo lecturer iv,LSA Molec./Cell./Develop. Bio,96845.45,9-Month,0.5,48422.73
Ann Arbor,assoc professor,LSA DAAS,105899,9-Month,1,105899
Ann Arbor,professor,LSA Germanic Languages & Lit.,132160,9-Month,1,132160
Ann Arbor,assoc professor,Int Med-General Medicine,225000,12-Month,1,12397.5
Ann Arbor,assoc professor,Pharmacology Department,126877,12-Month,0.9,82444.67
Ann Arbor,assoc professor,COE EECS - ECE Division,125766,9-Month,1,125766
Ann Arbor,leo lecturer i,LSA Romance Languages & Lit.,52530,8-Month,1,51939.76
Ann Arbor,asst professor,School of Information,120000,9-Month,1,120000
Ann Arbor,clinical professor,Pathology Department,215018,12-Month,1,0
Ann Arbor,professor,LSA Sociology,163184,9-Month,1,163184
Ann Arbor,professor,LSA Philosophy,222124,9-Month,1,211017.8
Ann Arbor,clinical professor,Obstetrics and Gynecology Dept,233000,12-Month,1,27123.53
Ann Arbor,research asst professor,Microbiology and Immunology,68324.93,12-Month,1,683.25
Ann Arbor,assoc professor,Int Med-Gastroenterology,225000,12-Month,0.5,0
Ann Arbor,asst professor,Hlth Behavior & Hlth Ed Dept,100100,9-Month,1,49049
Ann Arbor,leo adjunct lecturer,LSA American Culture,59857.34,8-Month,0.33,19723.36
Ann Arbor,asst professor,LSA Mathematics,62000,9-Month,1,59470.4
Ann Arbor,professor,Pathology Department,170000,12-Month,1,0
Ann Arbor,professor,LSA DAAS,116876,9-Month,0.5,58438
Ann Arbor,professor,LSA UG: Residential College,116876,9-Month,0.5,58438
Ann Arbor,clinical professor,Pediatrics Primary Care,210125,12-Month,0.83,0
Ann Arbor,leo lecturer i,Stamps School of Art & Design,51000,8-Month,0.67,33786.08
Ann Arbor,professor,Biological Chemistry Dept,180650,12-Month,0.75,99358.4
Ann Arbor,professor,Law School,211989,9-Month,1,211989
Ann Arbor,assoc professor,LSA Political Science,153745,9-Month,1,153745
Ann Arbor,asst professor,GSA - Administration (GSA/ADM),220000,12-Month,1,0
Ann Arbor,leo lecturer ii,Ross School of Business,100066.68,9-Month,1,100066.68
Ann Arbor,assoc professor,LSA Communication and Media,98410,9-Month,1,98410
Ann Arbor,adjunct clin asst professor,DENT Ortho/Peds Dentistry,58578,12-Month,0.4,23431.2
Ann Arbor,research asst professor,Emergency Med Critical Care,79500,12-Month,1,795
Ann Arbor,assoc professor,LSA Sociology,105800,9-Month,1,105800
Ann Arbor,professor,Health Management and Policy,158000,9-Month,1,158000
Ann Arbor,leo lecturer i,School of Nursing,52530,8-Month,0.57,29826.4
Ann Arbor,professor,Human Genetics Department,225000,12-Month,1,114522.75
Ann Arbor,professor,Ophthalmology & Visual Science,192217.78,12-Month,0.9,9611.66
Ann Arbor,professor,Molec & Integrative Physiology,191330,12-Month,0.1,19133
Ann Arbor,professor,Chemical Engineering Dept,169426,9-Month,1,169426
Ann Arbor,asst professor,"School of Music,Theatre&Dance",84000,9-Month,1,84000
Ann Arbor,professor,LSA Psychology,223148.39,12-Month,0.5,111574.2
Ann Arbor,research professor,SRC-Life Course Development,269279,12-Month,0.5,0
Ann Arbor,professor,Radiation Oncology - Ann Arbor,236250.89,12-Month,1,0
Ann Arbor,assoc professor,Int Med-Cardiology,135871,12-Month,1,3396.78
Ann Arbor,professor,Ross School of Business,274000,9-Month,1,182895
Ann Arbor,asst professor,Otorhinolaryngology Department,101970,12-Month,1,101970
Ann Arbor,professor,Pathology Department,208864,12-Month,1,0
Ann Arbor,clinical professor,Law School,180233,9-Month,1,90116.5
Ann Arbor,assoc professor,LSA Psychology,93002.82,9-Month,1,93002.82
Ann Arbor,leo lecturer iv,LSA Mathematics,84651.99,9-Month,1,84651.99
Ann Arbor,professor,LSA Earth & Environmental Sci.,129512,9-Month,1,129512
Ann Arbor,leo lecturer iii,LSA Molec./Cell./Develop. Bio,54590,9-Month,1,54590
Ann Arbor,professor,Ophthalmology & Visual Science,129493,12-Month,1,0
Ann Arbor,professor,Int Med-Pulm./Critical Care,225000,12-Month,1,7926.75
Ann Arbor,leo intermittent lecturer,SOE- Teacher Education,52530,8-Month,0.25,12984.96
Ann Arbor,assoc professor,Ross School of Business,204000,9-Month,1,204000
Ann Arbor,professor,Stamps School of Art & Design,121412.85,9-Month,1,121412.85
Ann Arbor,clinical lecturer,Ophthalmology & Visual Science,180000,12-Month,0.75,0
